ImpactID,LocationID,Classification_Key,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
59796251f79c37c8c70f44a373527b6c,76448680b8eea9f33e4e851e4e791714,nat-hyd-flo-riv,CAN,4.0,,5000.0,,5000.0
6b3811396ebc251cd6ba3ff03b8087ab,413d0bc466a4675af7991a2c59e0c87e,nat-met-sto-tor,USA,10.0,42.0,,,42.0
42649e0a153ebf81f03ffe0157f27ec3,17b5e63af206976a6f8d12434273b664,nat-met-sto-hai,USA,28.0,36.0,3600.0,,3636.0
6eaa319ec0800ba0e2967ed1adb604f7,57fdd16e93b00e1f2693a9df159c01dd,nat-met-sto-hai,USA,12.0,160.0,465.0,,625.0
73b6fe362359dd80cb5b5abbb15a7c0c,3d3f99f24438f294efdb2aa9f5b502a5,nat-hyd-flo-riv,USA,1.0,,600.0,,600.0
f73a1bef9e6fbf90a23190dc659a0b05,05e1ce2f247bb6b3a0322522b868f944,nat-hyd-flo-riv,USA,7.0,,,,
2087e3c13564a30b25d4cbb971a235ed,4c82e9cb36654ebf3f1c5bc7ee7068f7,nat-hyd-flo-riv,CAN,,,200.0,,200.0
3d27b19d29516b23de5c26a1d0e8cc9f,21794791953895ae39d0279cc2b097a7,nat-hyd-flo-riv,CAN,,,1000.0,,1000.0
f9ec77ad5000b238dddec7dbc6420c23,0a7403ac0466b0c03636ef62949cca1f,nat-hyd-flo-riv,CAN,,,2000.0,,2000.0
a7e13cc6d9cf46e2b50df89688f76455,79cd23877f3a08f5b230696886f225c2,nat-met-sto-lig,USA,1.0,,600.0,,600.0
d4e88f859caa7c4f9bf411ac2da05f6b,d1f497eca13063f8f5d8aa9e19d47b27,nat-hyd-flo-riv,USA,2.0,,2500.0,,2500.0
b20615e7cb820bb0ff1a18f5479a5f10,5521a187f4667a76bc0ddeb5c6fe6b2e,nat-hyd-flo-riv,CAN,,,300.0,,300.0
add2955d86089b2a2447c2e14b82e1af,868a030a4530425dc66b8caba4aef6e4,nat-hyd-flo-riv,CAN,1.0,,400.0,,400.0
51a1544eb1446b4c87dc98cfde26d622,02c278dd833f6bec06a2d46aec6cbc11,nat-hyd-flo-riv,USA,11.0,,65000.0,,65000.0
ccd0a85487149aa6727abe86d24ecfce,01a30d550084467082de1f6e61ce92d3,nat-hyd-flo-riv,USA,2.0,,2400.0,,2400.0
b4a3e30c4635d296949525fab62aa012,083f22be571aaad4489547fc6a01cb9d,nat-cli-wil-wil,USA,1.0,17.0,,150.0,167.0
de6db375a29af985762e9e81adaf6c5b,bb63d1d9d9cca59a959a626a09abcb0f,nat-met-ext-hea,USA,164.0,,,,
fd7faaaa0d786d6b906c5b3a80e234cd,70914b47802b6f86f343ae15243e55f3,nat-hyd-flo-riv,USA,,,,,
f62df667a88ef9dc59b514c25ebc326c,036cdb5f1e4d96c8684adcda3a2d302c,nat-hyd-flo-riv,USA,1.0,,600.0,,600.0
13f982e50f4435e7f70edfb0564f90f2,b0345d5156ee806c94a6dcd76da145e1,nat-met-ext-hea,USA,24.0,,,,
a88bbaa31f00bec391c51bb2398fe1a8,6a1c81a4ca1ef46bb7e10e57b6ffaf38,nat-hyd-flo-riv,USA,,,150.0,,150.0
3448ee7afe70827f63025fb41e1a4bdd,feea5fd2b516c536eefbeecffde62c4b,nat-met-sto-tro,USA,6.0,,140.0,,140.0
32e9ec1b01488719ea815339e40e82d8,e891139c469b2338b302f8e76ff8da8d,nat-hyd-flo-riv,USA,14.0,10.0,1200.0,,1210.0
fb5a232b7f1a29316aee0bb91d67f9cc,a0d7554fdd4f65bdd4a2466637969d6d,nat-hyd-flo-riv,USA,,,100.0,,100.0
f61c7997cea9e160ee43f9ae7fbb13f3,e7ec26152a6151b6be187f3fbf1f81bd,nat-cli-wil-lan,USA,4.0,1.0,,102.0,103.0
2742d01fbf18e6ee51098f4e318164e6,a9acd0eb70e19174c157883f74a1a0d0,nat-met-sto-tor,USA,12.0,20.0,,,20.0
cfdaa3b89254b0703bc2523ef8d1da0e,6a399b59daf6aca03d3daecac225189d,nat-hyd-flo-riv,USA,2.0,,1500.0,,1500.0
09cbaf88f6c143f386a74c1b58e02a45,de0487203251c7964256a290ffcf8d5d,nat-met-sto-bli,USA,3.0,,,,
d0ffe9a7f18f2bf397c43ac188c2fd2f,56146f62b731ac3fa88395f5fd6f615c,nat-cli-wil-lan,USA,,,,15.0,15.0
7b0e6309b5e93b341fd8dcdbdd8b8cbd,be52e634ed94b52fc40811a475e64888,nat-geo-ear-gro,USA,,10.0,3519.0,,3529.0
7383989cd00f6d1ec18eba543780dbb6,d9e9e5afcabf0546e03b541a7bd21dae,nat-met-sto-tor,USA,,,600.0,,600.0
101d4055d0c3e7e2bd1f06d82491d528,b4f5413a5d211954228f5fb155343aa0,nat-met-sto-bli,USA,,,,,
debe41e41773eddf6930dd4bf8f9d044,d4b3566ce0750312499c53c14493c67c,nat-met-sto-bli,USA,,,,,
bd5acbff8b1de38fb56b7d822c912ca2,d09d261bf968f0b273f2344564d630a9,nat-met-sto-sto,USA,11.0,,,,
1f5d98a436d7e728f29af630d2405a63,ecb0a4ef2b51ae8aa77c9004741cd4f3,nat-met-sto-sto,USA,10.0,,,,
df00352ea983842e8f14c91076c073ef,4df92ea4b06628c7da30cd1e83a65e12,nat-met-sto-sto,USA,65.0,220.0,,,220.0
91ccbd26b813ee84d08b1a5d0d045c96,b636e8d9ef7d16e1349a7aa638bac155,nat-hyd-flo-riv,USA,24.0,,,,
4008a2bb1ce0f7d0e3378f6051c96a63,85b355f9102d3005cf7fdd36fad724e9,nat-met-sto-tor,USA,20.0,,6600.0,,6600.0
6cac820861044e1c32a6aeb23001f47e,f94f3b52cbd5af2fde490f86e6993a51,nat-met-sto-bli,CAN,2.0,,,,
fb263dcc7ef3ef46317c5f4fb770df6e,d1e8c9f732eaddf5fb7469648c7ff51d,nat-met-sto-bli,USA,16.0,,,,
5d85facf84feb89e3e2aba6bf611a44a,baeb5b99726dcf963f52b79e6d4848a5,nat-met-sto-tor,USA,20.0,20.0,,,20.0
5b5e54b26d239e94b53e53f649d087ce,d3ba5c2881c151d919de91b31db083ed,nat-met-sto-tor,USA,10.0,80.0,,200.0,280.0
