ImpactID,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total_Damage_000_USD,"Total Damage, Adjusted ('000 US$)",CPI
a5c3f0f6abf63b502e2618b0a12a37dd,24.0,148.0,11000000.0,,11000148.0,10000000.0,14152261.0,70.66008903450533
d48d4a931d202b5677b2d5d23c870961,,,30000.0,,30000.0,,,70.66008903450533
8da7932d6cdb5b4000718db607bad3a6,,200.0,,,200.0,110000.0,155675.0,70.66008903450533
7f8ef90a7222563fa08e6bdbeb2cfd52,5.0,,,,,360000.0,509481.0,70.66008903450533
fe8abc41cfe9cb4ada94f6b62c3e422b,58.0,,,,,1100000.0,1562303.0,70.40886175693409
c5a4bca02c92592fc0c02d074c937d17,2.0,60.0,5000.0,,5060.0,166000.0,235766.0,70.40886175693409
0762f4addf3b5b4627d4f1c1426d48db,9.0,72.0,750.0,,822.0,1700000.0,2414469.0,70.40886175693409
7e6d54461d7fd7cd60f5a4386c30eeed,,29.0,,234.0,263.0,100000.0,142028.0,70.40886175693409
785d26663e6f3677905be252c4dc5390,,,,900.0,900.0,,,70.40886175693409
98a0b595f87835e888a214c98e841091,,,200.0,,200.0,,,70.40886175693409
5e763eacd92e29effdc51d2a2ea03d53,,,1000.0,,1000.0,,,70.40886175693409
735f71b8f457fe01ad1bb62a3f09b77b,6.0,,,,,240000.0,340866.0,70.40886175693409
edf3428d95b1d90d43a3b8552ba14fae,16.0,50.0,,,50.0,2500000.0,3550689.0,70.40886175693409
5f680a4f6b9a795f4c810417cefbebfd,,3.0,,,3.0,,,70.40886175693409
3fcccbd417160ebb6f538e92ab1cc679,3.0,9.0,,,9.0,,,70.40886175693409
caabe23780e8300c630320c28da45aab,2.0,,,192.0,192.0,,,70.40886175693409
549c711471baf3147c39c4bff158a967,9.0,,3000.0,,3000.0,500000.0,710138.0,70.40886175693409
380648fd208c4a48e515ed679bac1904,6.0,,,,,600000.0,852165.0,70.40886175693409
d2b00f2940c8b1ac6962d06cf3d3ee80,19.0,,,,,,,70.40886175693409
a77a85725019517e71a28a14213cb4ae,1.0,2.0,,,2.0,2000000.0,2840552.0,70.40886175693409
3b5400f6e958507b83d79bc89651550e,1.0,,,,,1000000.0,1420276.0,70.40886175693409
eaaa270e63d0e2436ad2c0c5c2660066,7.0,,,,,850000.0,1207234.0,70.40886175693409
