DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2016-0012-USA,b808220f16a0a699c35e6b7a775f6e58,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,Pacific storm systems fueled by El Nino,"Flood|Slide (land, mud, snow, rock)",,Kph,2016-01-04,2016-01-08,4
2016-0051-USA,19a726817dc1e6d583ad8453d61bcc2f,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Lightening,,Kph,2016-02-22,2016-02-25,3
2016-0085-USA,aae82698ac2cbb2f3901417ac3f6d921,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,Yes,,Flood,,Kph,2016-03-04,2016-03-12,8
2016-0086-USA,2fc71fc5f6e7c98f58de9593a31ae76b,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,Yes,,Hail,,Kph,2016-03-17,2016-03-18,1
2016-0087-USA,29b530350dd38c589d966858eb85202f,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,,Kph,2016-03-22,2016-03-25,3
2016-0123-USA,0e85852e4d3ed9b5ebb89124eb682bc2,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Hail,,Kph,2016-04-10,2016-04-15,5
2016-0124-USA,6fd952fdfaaa50035a79fdaad116bc18,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,Yes,Torrential rrains,Storm,,Km2,2016-04-16,2016-04-19,3
2016-0125-USA,b55a7505cdc9afb5bcf09bdddc340590,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,,Kph,2016-04-25,2016-05-04,9
2016-0150-USA,13eb40861d1eca800b09f79864ac84ea,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail,,Kph,2016-05-08,2016-05-11,3
2016-0170-USA,a12946d410a223f4941b7107b3107604,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,,,,Km2,2016-04-30,2016-04-30,0
2016-0172-CAN,42c8ab3598e96674da52b38b5e5a7f16,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Fort McMurray wildfires,Yes,No,No,,Explosion,6000.0,Km2,2016-05-01,2016-07-04,64
2016-0181-USA,540fd5061d78444eb905a0e47e322fd4,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,No,No,No,,Flood,,Kph,2016-05-21,2016-05-28,7
2016-0183-USA,5dcab1e11887b961437c84133ef1d0e8,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rain,Storm,,Km2,2016-05-27,2016-06-02,6
2016-0203-USA,d2a65d3e22caebb3b41ffb97ba58dc09,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,No,No,Yes,Torrential rain,"Flood|Slide (land, mud, snow, rock)",,Kph,2016-06-22,2016-06-24,2
2016-0206-USA,742c7e791b25790c5ea8845a72d38739,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,No,No,Yes,"Combination of heat, extented drought and gusty winds",,,Km2,2016-06-25,2016-06-26,1
2016-0243-CAN,79ce18ed318c2537eea43f53bb76ae4c,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rain,,176099.51,Km2,2016-06-14,2016-06-21,7
